Question,Answer
Why is the customer required to fill a cardholder dispute form (CDF) to report transaction dispute,"A duly filled in Cardholder Dispute Form (CDF) mentioning all the required details of the disputed transaction(s) and the exact nature of dispute, aids the Cardholder as well as the Bank to initiate accurate investigation with the respective Merchant / Member Bank.Pls click on link below to view the cardholder dispute form: http://www.hdfcbank.com/assets/pdf/Cardholder_Dispute_Form.pdfNOTE: A detailed email mentioning all the required details and supporting documents (if any), as mentioned in the CDF, can also be written to [email protected]"
What is the time frame to resolve Domestic ATM transaction disputes,7 working days from receipt of the dispute.
What is the time frame to report Debit Card transaction dispute,Transaction dispute needs to be reported in writing within 30 days from the transaction date.
Which documents are to be submitted with respect to the failed/ disputed transaction,The Debit Cardholder must submit the following documents along with the dully filled Cardholder Dispute Form (CDF). Transaction typeDocuments to attached Transaction declined but funds are debited from the account Void charge-slip OR email/letter from merchant confirming transaction not completed Amount debited but payment made through an alternate mode Proof of payment by alternate mode Excess amount debited Proof of actual amount authorized/agreed with the merchant Transaction cancelled but refund from merchant not credited / Damaged goods/ Quality of the product or services is not as agreed Cancellation confirmation from the merchant/ refund confirmation It is strongly recommended to check if the amount has already been credited /adjusted into your e-wallet / subscriber account in case of ecommerce transactions.
How do I report such service/merchant related transaction dispute incurred using my Debit Card transaction,"We strongly recommended that for all service related disputes, the Debit Cardholder must first attempt to contact the merchant to resolve the dispute which enables prompt resolution. Considering all attempts have been made to resolve dispute with the merchant, you may call PhoneBanking team for raising exact nature of dispute and send relevant supporting document with respect to failed / disputed transactions with complete transaction(s) details to [email protected] ] OR submit the same at your nearest HDFC Bank branch."
What is a service dispute,"Following transactions are categorized as service dispute. Transaction declined but funds are debited from the account Amount debited but payment made through an alternate mode Excess amount debited Transaction cancelled but refund from merchant not credited Dual Debits /Duplicate debits for the same merchant, amount, date and time Damaged goods/ Quality of the product or services is not as agreed."
What is the time frame to resolve Purchase/ Online & International ATM transaction disputes,Approximately 45 to 120 days from receipt of the dispute depending upon the relevant franchise's ( e.g. Visa / Master / Rupay / Diners etc.) dispute resolution cycle.
Are there charges I should know about Imperia Platinum Chip Debit Card,"Another benefit of the EasyShop Platinum Debit card is that there are absolutely no transaction charges to worry about when shopping at a merchant location. Any Fuel surcharge levied will be reversed within 75 days from the date of levy of the surcharge(upto a maximum of Rs. 750 per month per card. You can use your card charge-free at all HDFC Bank ATMs, but remember to check the associated fees when using other bank ATMs. Please also remember that charges will be levied at Railway stations. This is as per industry practice. View more"
What should I do in the case of a void transaction Imperia Platinum Chip Debit Card,Just fax us a copy of the void transaction slip. You can also send it to or submit the same at your nearest HDFC Bank branch. For PhoneBanking numbers Click Here .
Where can I use my EasyShop Platinum Debit Card,"Just look for the Visa logo when shopping. If you'd like to use an ATM, it should have the Visa or PLUS logo. And remember, you can use your EasyShop Platinum Debit Card at all HDFC Bank ATMs just like a normal card."
Are there any transaction limits for Imperia Platinum Chip Debit Card,"Depending on the balance in your account, it is possible to withdraw up to Rs. 1 lakh at the ATM daily, and spend Rs 2.75 lakhs daily. These limits have been set for your card security."
What should I do in the case of a void transaction for Platinum Debit Card,Just fax us a copy of the void transaction slip. You can also send it to or submit the same at your nearest HDFC Bank branch. For PhoneBanking numbers Click Here .
Where can I use my EasyShop Platinum Debit Card,"Just look for the Visa logo when shopping. If you'd like to use an ATM, it should have the Visa or PLUS logo. And remember, you can use your EasyShop Platinum Debit Card at all HDFC Bank ATMs just like a normal card."
Are there transaction limits for Platinum Debit Card,"Depending on the balance in your account, it is possible to withdraw up to Rs. 1 lakh at the ATM daily, and spend Rs. 2.75 lacs daily. These limits have been set for your card security."
Are there charges I should know about Platinum Debit Card,"Another benefit of the EasyShop Platinum Debit card is that there are absolutely no transaction charges to when shopping at a merchant location. You can use your card charge-free at all HDFC Bank ATMs, but remember to check the associated fees when using other bank ATMs. Please also remember that charges will be levied at Railway stations. This is as per industry practice. The annual Charges for Easy Shop Platinum Debit Card is Rs.750 View more"
What should I do in the case of a void transaction for Titanium Royale Debit Card,Just fax us a copy of the void transaction slip. You can also send it to or submit the same at your nearest HDFC Bank branch. For PhoneBanking numbers Click Here .
Where can I use my EasyShop Titanium Royale Debit Card,"Just look for the MasterCard logo when shopping. If you'd like to use an ATM, it should have the Master or Cirrus logo. And remember, you can use your EasyShop Titanium Royale Debit Card at all HDFC Bank ATMs just like a normal card."
Are there charges I should know about Titanium Royale Debit Card,"Another benefit of the EasyShop Titanium Royale Debit card is that there are absolutely no transaction charges when shopping at a merchant location. Any Fuel surcharge levied will be reversed within 75 days from the date of levy of the surcharge(upto a maximum of Rs. 750 per month per card. You can use your card charge-free at all HDFC Bank ATMs, but remember to check the associated fees when using other bank ATMs. Please also remember that charges will be levied at Railway stations. This is as per industry practice. View more"
Are there transaction limits for Titanium Royale Debit Card,"Depending on the balance in your account, it is possible to withdraw up to Rs. 75,000 at the ATM daily, and spend Rs 1.75 lacs daily. These limits have been set for your card security."
What should I do in the case of a void transaction for Gold Debit Card,Just fax us a copy of the void transaction slip. You can also send it to or submit the same at your nearest HDFC Bank branch. For PhoneBanking numbers Click Here.
How do I claim Personal Accident Death Cover for Gold Debit Card,"Nominees and legal heirs should visit their nearest HDFC Bank branch. We will help with the documents required, and, when these are complete, we will liaise with the relevant insurance company to resolve the claim. This is a special service for our EasyShop Gold Debit Card holders. Remember to provide us with all documents within one month of death."
Where can I use my EasyShop Gold Debit Card,"Just look for the VISA logo when shopping, and if using an ATM check for the VISA/PLUS logo."
Are there extra charges for Gold Debit Card,"You can be sure that there are no transaction charges when using your card at a merchant location. There are also no petrol surcharges, or fees for using an HDFC Bank ATM. Just remember to check for usage charge information if you access other bank ATMs."
Are there transaction limits for Gold Debit Card,"Subject to the balance in your account, the daily limits are Rs. 50,000 at ATMs and Rs. 2.75 lacs at merchant locations. These limits have been set for the security of your card."
Where can I use my EasyShop Titanium Debit Card,"Your card can be used at all HDFC Bank ATMs, just like a normal card. When shopping at merchant locations, just look out for the MasterCard logo, and at ATMs check for the Master and Cirrus logo."
Are there any charges to be aware of for Titanium Debit Card,Check the associated fees here.
What are the transaction limits for Titanium Debit Card,"The daily limits are Rs. 50,000 at the ATM and Rs. 1.75 lacs at merchant locations. This is subject to the balance in your account, and is for your account security."
What should I do in the case of a void transaction for Titanium Debit Card,Just fax us a copy of the void transaction slip. You can also send it to or submit the same at your nearest HDFC Bank branch. For PhoneBanking numbers Click Here.
What should I do in the case of a void transaction,Just fax us a copy of the void transaction slip. You can send it to one of our PhoneBanking numbers or your nearest HDFC Bank branch.
What should I do in the case of a void transaction for International Debit Card,Just fax us a copy of the void transaction slip. You can also send it to or submit the same at your nearest HDFC Bank branch. For PhoneBanking numbers Click Here.
Are there charges I should know about International Debit Card,"Another benefit of the EasyShop Platinum Debit card is that there are absolutely no transaction charges to when shopping at a merchant location. Fuel surcharge levied at select BPCL petrol pumps will be reversed within 75 days from the date of levy of the surcharge. Just make sure your card is swiped at HDFC Bank’s terminal to avail petrol surcharge waiver. You can use your card charge-free at all HDFC Bank ATMs, but remember to check the associated fees when using other bank ATMs. Please also remember that charges will be levied at Railway stations. This is as per industry practice. View more"
Where can I use my EasyShop International Debit Card,"Anywhere you see the Visa logo, and at any ATM displaying the Visa or PLUS logo. Remember, your card can be used at all HDFC Bank ATMs just like a normal ATM card."
Are there transaction limits for Debit Card,"A daily ATM limit of Rs. 25,000 for withdrawals, and Rs. 1,25,000 at merchant establishments ."
Are there extra charges for International Business Debit Card,"You can be sure that there are no transaction charges when using your card at a merchant location. There are also no petrol surcharges, or fees for using an HDFC Bank ATM. Just remember to check for usage charge information if you access other bank ATMs."
Where can I use my EasyShop Business Debit Card,"Just look for the MasterCard logo when shopping, and if using an ATM check for the MasterCard/Cirrus logo."
What should I do in the case of a void transaction for International Business Debit Card,Just fax us a copy of the void transaction slip. You can also send it to or submit the same at your nearest HDFC Bank branch. For PhoneBanking numbers Click Here.
Are there transaction limits for Business Debit Card,"Subject to the balance in your account, the daily limits are Rs. 50,000 at ATMs and Rs. 1.75 lacs at merchant locations. These limits have been set for the security of your card."
What should I do in the case of a void transaction for Womans Advantage Debit Card,Just fax us a copy of the void transaction slip. You can also send it to or submit the same at your nearest HDFC Bank branch. For PhoneBanking numbers Click Here.
